language,text,time,id,originalId,details
en,Check out the range of festival trips - from running of teh bulls in Spain to Oktoberfest in Germany to weekends in Belgium!,2010-05-27,35593,4ac518cef964a5203fa620e3,http://tour-pedia.org/api/getPlaceDetails?id=35593
en,"Don't leave this one to the tourists - it's really interesting and, given the size, actually quite good value. Don't wear a skirt (or kilt) though - the best bits are accessed via ladders.",2010-07-29,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,Must see for all people loving millitary history.,2010-08-27,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,is it a boat or a ship,2010-10-02,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,"Buy The London Pass and save a fortune - Free entrance here and to more than 50 top attractions, skip the line, shopping vouchers, etc...",2010-12-09,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,"This WW2 cruiser, now a tourist attraction, took part in the sinking of the German battleship Scharnhorst and in the D-Day landings. Her guns are aimed at an M1 service station 12.5 miles away.",2011-02-14,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,What an interesting place! Love it!,2011-09-24,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,Just close at 4:00 winter time.,2011-11-06,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,Today not a good day to visit. It's shut.,2011-12-08,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,Now I'm mayor I am gonna fire her up and go conquer a  small island who's with me?,2012-01-10,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
nl,Freezing but Ammmaaazing!!,2012-01-29,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,"I uploaded wrong pic, sorry no idea how to delete!",2012-03-18,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,Painted in dazzle camouflage used in WW2 to confuse the enemy as to where the bow/stern were. Google for more examples :),2012-05-18,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,The Belfast is open for visitors again.,2012-05-22,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,"1 February: Its story is told through helpful guides, first-hand accounts of those who served on it and a chance to go below decks to see the cabins & engine rooms to get a sense of what life was like",2012-07-17,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,Come before 4pm. I find it rather disingenuous that they don't tell you they stop providing the audio guide after a certain time until after they take your full price entry fee.,2012-07-18,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,"this is a really tourist attraction. is very big and awesome, so be sure that you don't get lost :)",2012-07-26,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,Very cool ship,2013-03-12,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,"Very interesting place. This boat is huge, we have visited it today and it took ~ 2 hours to go through all decks, stairs and rooms. It will show you how the marines spent their days on the ship! Nice",2013-03-16,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
pt,Eles tem uma Enigma capturada e o livro de código. Só isso já vale a visita.,2013-04-10,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,Great treat for any military junkie.,2013-05-07,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,The 90mins suggested on the website is a joke.  Allow at least 2.5 hours.,2013-07-17,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
ru,"Заходите, деткам бесплатно. Билеты продаются до 17:30",2013-08-11,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,"Brilliant, lots to see and do. Allow a good 4 hours for a thorough visit.",2013-08-14,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,"Harry and his protectors, lead by Prof Moody, fly down the starboard side of HMS Belfast in the beginning of Harry Potter and the Order of the Phoenix (2007).",2013-08-25,35600,4ac518cef964a520faa520e3,http://tour-pedia.org/api/getPlaceDetails?id=35600
en,Currently getting a clean.,2010-02-20,35603,4ac518cef964a520fea520e3,http://tour-pedia.org/api/getPlaceDetails?id=35603
en,"A pink granite monument dating back to about 1,475 BC. Its inscriptions celebrate the pharaohs of ancient Egypt and have nothing to do with Queen Cleopatra VII.",2010-08-24,35603,4ac518cef964a520fea520e3,http://tour-pedia.org/api/getPlaceDetails?id=35603
en,"This ancient Egyptian obelisk was made in Heliopolis c.1475 BC, and presented as a gift by the Turkish Viceroy of Egypt in 1819. After a dangerous and difficult sea-voyage, it was put up here in 1879.",2011-02-10,35603,4ac518cef964a520fea520e3,http://tour-pedia.org/api/getPlaceDetails?id=35603
en,"When Cleopatra’s Needle was erected here in 1879, a time capsule was buried beneath it, containing newspapers, bibles, coins, and photographs of the 12 best looking women in England!",2011-02-10,35603,4ac518cef964a520fea520e3,http://tour-pedia.org/api/getPlaceDetails?id=35603
pt,"Observe as marcas de tiros na lateral do monumento, feche os olhos e se imagine no período de guerras...",2012-06-20,35603,4ac518cef964a520fea520e3,http://tour-pedia.org/api/getPlaceDetails?id=35603
en,Watch out for excrement... Yuck,2012-08-30,35603,4ac518cef964a520fea520e3,http://tour-pedia.org/api/getPlaceDetails?id=35603
en,"Built 1756-66 for the first Earl Spencer (one of Diana’s ancestors), Spencer House is London’s finest surviving eighteenth-century private palace.",2012-03-27,35612,4ac518cff964a52052a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35612
en,How small is this boat! And it went round the world so to speak.,2010-04-07,35613,4ac518cff964a52053a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35613
en,"Search for buried treasure under the third yard past the half-mast, ahaaaarrrrggggghhhh.",2010-07-02,35613,4ac518cff964a52053a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35613
en,Francis Drake was knighted by Queen Elizabeth I on the ‘Golden Hinde’ in Greenwich Reach. The round-the-world ship was a popular attraction before it rotted away in the 1660s. Find your maritime story,2011-07-11,35613,4ac518cff964a52053a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35613
en,"After touring the ship, why not enjoy a pint in the adjacent pub and look out over the Thames?",2011-09-12,35613,4ac518cff964a52053a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35613
en,"Astounding reconstruction. Don't just look, get on board!",2011-12-29,35613,4ac518cff964a52053a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35613
en,YOU CAN RESERVE IT FOR SLEEPOVERS!,2012-01-23,35613,4ac518cff964a52053a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35613
en,"This ship was used in the filming of the mini-series ""Shogun"" starring Richard Chamberlain.",2012-06-12,35613,4ac518cff964a52053a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35613
en,"Try the kids pirate fun day, great fun for all ages.",2012-12-31,35613,4ac518cff964a52053a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35613
en,£6 entry for adults self-guide. Maybe next time :),2013-09-21,35613,4ac518cff964a52053a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35613
en,"The writer Thomas Carlyle moved here in 1834, when Chelsea was still considered an unfashionable area. His history of the French Revolution inspired Dickens to write ‘A Tale of Two Cities’.",2011-01-17,35615,4ac518cff964a52058a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35615
en,"Thomas & Jane Carlyle are almost forgotten today, yet in Victorian era they were A-list celebs. Almost everything in the house is genuinely original and the curator is tremendously knowledgeable",2012-08-20,35615,4ac518cff964a52058a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35615
en,Really nice newly opened museum in medieval buildings. A little hidden gem in the heart of Clerkenwell.,2010-12-08,35617,4ac518cff964a5205ba620e3,http://tour-pedia.org/api/getPlaceDetails?id=35617
en,"Dating from 1503, this was once the entrance to the Priory of the Knights of St.John. Later this was where the world’s first magazine, Gentleman’s Magazine, was printed from 1731.",2011-02-10,35617,4ac518cff964a5205ba620e3,http://tour-pedia.org/api/getPlaceDetails?id=35617
en,Long interesting story behind the ambulances!,2011-11-14,35617,4ac518cff964a5205ba620e3,http://tour-pedia.org/api/getPlaceDetails?id=35617
en,"This is three museums in one: the history of St John’s Gate, a commemoration of the Order of St John, and an interactive display on the Order’s modern incarnation – the St John’s Ambulance.",2012-03-27,35617,4ac518cff964a5205ba620e3,http://tour-pedia.org/api/getPlaceDetails?id=35617
en,"15 November: Reopened in late 2010 after extensive renovations at its base in St John's Gate, originally the entrance to the former Priory of the Knights of St John, their English base from the 1140s.",2012-05-29,35617,4ac518cff964a5205ba620e3,http://tour-pedia.org/api/getPlaceDetails?id=35617
en,Some stunning artistic works on display here. Gift aid your admission fee and you get a year long pass for free!,2011-10-30,35652,4ac518d0f964a52091a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35652
en,"The audio tour makes looking at fashion, actually... interesting!",2013-07-13,35652,4ac518d0f964a52091a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35652
en,"This arch, built in honour of the hero of the Battle of Waterloo, once formed a grand western entrance to London, but had to be moved aside in 1885 as it created a notorious traffic bottleneck.",2011-02-10,35653,4ac518d0f964a52092a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35653
en,Climb to the top of the arch for a glimpse of Buckingham Palace's private gardens.,2012-03-27,35653,4ac518d0f964a52092a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35653
en,"This hollow Arch was half ventilation shaft for the Underground, half a tiny police station until 1992. Now open to the public for a sneaking glimpses of the Buckingham Palace private gardens.",2012-05-30,35653,4ac518d0f964a52092a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35653
en,Waste of money.,2013-05-15,35653,4ac518d0f964a52092a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35653
en,Only the British Royal Family and their guests can drive through the arch. Listen for the sound of police whistles as the outriders approach to clear traffic. The army marches/rides through too.,2013-06-06,35653,4ac518d0f964a52092a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35653
en,I love riding my bicycle naked in London,2013-06-08,35653,4ac518d0f964a52092a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35653
en,"Nice place, lot of car and bus traffic",2013-09-12,35653,4ac518d0f964a52092a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35653
en,"one of my top shopping/hangout destinations... love the vintage corner, and unique shops like Behind the Valley. ;)",2009-11-10,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,Visit Franks Deli. Order a Soprano's Sandwich. Spend 30 minutes cleaning the mess from your face. Yummy.,2009-12-14,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,"Go inside the hidden Kingly Court. Check out Cha Cha Moon, nice asian dishes for a bargain.",2010-06-07,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
es,Es una calle donde hay multitud de tiendas para comprar todas de buenas marcas y además es peatonal,2010-08-18,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,"Once the home of the London Mod scene, Carnaby St. is steeped in London fashion history. Have a stroll down the smaller lanes like Kingly Court & Newburgh Quarter to find smaller, independent stores.",2010-08-19,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,If you're around for the late night shopping event pop in to Ben Sherman where they are serving complimentary Salto cocktails www.saltobrazil.com,2010-11-18,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
af,Visit our website!,2010-12-07,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,"Check out: The Kooples, Miyson, The Lingerie Collective and Suu Lee, all new stores at Carnaby!",2010-12-07,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,"A must visit place in London. Fashion, lifestyle, architecture in one quirky area.",2010-12-29,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,Niall M. please contact us to claim your prize!,2011-01-07,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,"You are close to a Nokia office, follow @nokiacareers on Twitter to hear about our news, stories and jobs",2011-04-16,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,Best place for Men's Fashion since 1960's,2011-07-15,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,"New Lash Bar, Lash Perfect on Marshall Street in Carnaby has special opening offer  - £80 for top set of lash extentions instead of normal £120",2011-07-28,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,Very cool area for unique goodies <3 very delight by watching cool people walking around. So enjoyed!!,2011-08-20,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,£25 off at Office here today,2011-11-26,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,"Can't believe how much nicer this place is than, well, 20 years ago when I last walked through here...",2011-12-17,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,Helpful maps everywhere !,2012-02-17,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,And the atlas ball,2012-07-11,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,Go to Sacred for a coffee.,2012-09-09,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,Lovely shopping street not to be missed!,2012-12-02,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,Great for shopping for labels,2013-04-02,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,Trendy Shoppers.....Trendy Shops!,2013-04-06,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,Great place to shop and grab something to eat,2013-04-18,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
ar,منطقة رائعة ... ومقاهي وجلسات رايقة ... لكن مدخلها غير واضح انتبهو الى اللوحة الحمراء في شارع ريجنت بسهم مكتوب عليها Carnaby,2013-05-05,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
es,Comercio de rua espetacular,2013-06-12,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,Shops for ppl who ARE style.,2013-07-13,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,You must visit. Great area for shopping,2013-07-19,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,"Great shopping area bit different than oxford, many restaurants too",2013-07-24,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,"Amazing atmosphere, great place to shop and eat.",2013-08-02,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,Shakespear Head :),2013-08-03,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,"Remember to visit ""Lash Bar"". Nice lash offer :-)",2013-08-11,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,Great place to shop,2013-08-16,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,It's like Oxford st. for the others. :)) And I love it :),2013-09-22,35655,4ac518d0f964a52095a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35655
en,Enjoy the unusual view of westminster abbey and the house of lords,2009-12-23,35656,4ac518d0f964a52096a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35656
en,Some great heros represented here!,2012-06-27,35661,4ac518d0f964a5209ba620e3,http://tour-pedia.org/api/getPlaceDetails?id=35661
en,Duke of wellingtons mounting (horse) stone round corner of IOD Waterloo place,2013-03-19,35661,4ac518d0f964a5209ba620e3,http://tour-pedia.org/api/getPlaceDetails?id=35661
en,The Peter Paul Rubens’ canvases on the house’s ceiling  survived a fire in 1698 that destroyed the majority of the Palace of Whitehall  and spent the Second World War down a mine in Wales.,2010-08-24,35662,4ac518d0f964a5209da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35662
en,"Charles I and his head parted company here, in case you didn't know. It was sewn back on later, don't worry.",2010-08-29,35662,4ac518d0f964a5209da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35662
en,"This was the only part of Whitehall Palace, one of the greatest in Europe, not destroyed by the fire of 1698. Charles I was executed on a scaffold built at window-level outside this building.",2011-01-17,35662,4ac518d0f964a5209da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35662
en,Great summer activities for lids,2011-08-10,35662,4ac518d0f964a5209da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35662
nl,Open house.,2011-09-18,35662,4ac518d0f964a5209da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35662
en,Check opening hours before headong here. Can be subject to short-notice closures...,2013-02-21,35662,4ac518d0f964a5209da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35662
en,"In 1757 Benjamin Franklin was sent to London to protest at British policy towards the American colonies. This is where he lived for nearly 16 years, trying and failing to change government policy.",2011-01-17,35667,4ac518d0f964a520a7a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35667
en,Well worth the visit as the re-enactments are great,2011-07-22,35667,4ac518d0f964a520a7a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35667
